actual_data_bytes_a2b	actual_data_bytes_b2a	rexmt_data_pkts_a2b	rexmt_data_pkts_b2a	RTT_avg_a2b	RTT_avg_b2a	RTT_stdev_a2b	RTT_stdev_b2a
3676	2454	0	0	181.5	3.6	0.5	5.9
1892	3646	0	0	47.3	0.2	3.6	0.0
3161	3310	0	0	49.0	0.2	7.2	0.1
149	1530	0	0	3.3	0.1	0.3	0.0
1924	3646	0	0	46.7	0.1	2.9	0.0
3161	3310	0	0	47.6	0.1	2.5	0.0
5063	58474	0	0	154.3	0.9	5.4	2.2
5117	4454	0	0	147.3	0.8	3.8	0.8
1289	22369	0	0	5.1	13.9	1.6	38.7
4622	72776	5	0	21.7	0.3	18.8	0.6
1281	811	5	0	9.2	17.5	0.0	30.0
1303	815	5	0	9.9	32.2	0.0	55.5
512	4306	0	0	9.6	0.1	0.2	0.1
518	4055	0	0	10.7	0.2	1.5	0.1
508	4292	0	0	10.4	0.1	1.3	0.0
2104	1141	5	0	33.4	0.7	0.5	1.1
749	6693	0	0	16.6	0.3	17.4	0.3
10045	9710	5	0	15.7	0.2	12.9	0.2
36042	50265006	0	5	8.4	1.2	12.2	9.8
14393	297259	0	0	41.2	11.6	58.1	31.7
0	0	1	0	0.0	0.0	0.0	0.0
0	0	1	0	0.0	0.0	0.0	0.0
0	0	2	0	6.7	0.0	0.0	0.0
0	0	2	0	9.5	0.0	0.0	0.0
0	0	2	0	12.1	0.0	0.0	0.0
0	0	0	0	226.2	0.2	0.0	0.0
0	0	2	0	16.1	0.0	0.0	0.0
0	0	2	0	5.4	0.0	0.0	0.0
18283	388511	0	0	12.0	6.0	13.2	19.6
46906	17136	6	0	15.5	54.0	15.9	18.4
0	0	2	0	4.9	0.0	0.0	0.0
749	6826	0	0	20.0	0.3	17.5	0.3
6613	145795	0	0	10.8	7.5	1.4	18.5
11826	178	0	0	141.8	21.9	0.7	37.7
8303	181333	5	1	22.5	0.3	19.1	0.5
1278	805	5	0	11.3	17.4	0.0	29.7
49028	40013382	0	0	20.8	0.3	15.4	1.9
1296	809	1	0	8.3	17.0	0.0	29.0
518	4055	0	0	10.9	0.2	2.2	0.1
508	4291	0	0	14.6	0.2	2.2	0.1
8650	566385	0	0	257.8	5.6	28.9	18.2
7279	225408	0	0	246.2	4.0	23.3	14.5
293183	214986	20	1	18.2	0.6	19.0	5.1
4237	188222	0	0	262.2	3.8	28.7	12.5
6524	159875	0	0	257.2	5.1	25.1	13.8
8700	579098	0	0	265.3	8.2	18.8	22.2
4843	187378	0	0	262.3	4.2	31.5	11.8
770	37519	6	0	50.8	4.3	9.0	9.9
3254	121976	6	0	80.5	4.9	62.6	11.8
524	35425	0	0	28.4	0.2	0.5	0.0
7960	15844	19	0	158.4	5.3	37.2	15.0
0	0	0	0	201.6	0.7	0.0	0.0
375	167	5	0	10.8	17.3	0.0	29.2
351	3438	0	0	137.9	2.7	0.4	5.0
1809	166315	0	0	30.3	2.4	4.5	9.8
1809	90374	0	0	31.2	1.4	4.6	3.5
1225	4652	0	0	28.7	21.5	0.8	28.9
